,event-id,visible,timestamp,location-long,location-lat,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,geometry,stationTemp,elevation
0,7980572947,True,2009-10-07 04:21:00,15.82788493,-19.22820435,gps,Loxodonta africana,AG192,LA27,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),POINT (15.82788493 -19.22820435),21.4,286
1,7980572948,True,2009-10-07 05:01:00,15.8274231,-19.22718506,gps,Loxodonta africana,AG192,LA27,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),POINT (15.8274231 -19.22718506),21.4,286
2,7980572949,True,2009-10-07 05:21:00,15.82893473,-19.225,gps,Loxodonta africana,AG192,LA27,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),POINT (15.82893473 -19.225),21.4,286
3,7980572950,True,2009-10-07 09:21:00,15.868891399999999,-19.20769653,gps,Loxodonta africana,AG192,LA27,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),POINT (15.8688914 -19.20769653),27.857142857142858,287
4,7980572951,True,2009-10-07 12:21:00,15.87770182,-19.20091756,gps,Loxodonta africana,AG192,LA27,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),POINT (15.87770182 -19.20091756),32.800000000000004,284
5,7980572952,True,2009-10-07 13:41:00,15.87960002,-19.1980957,gps,Loxodonta africana,AG192,LA27,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),POINT (15.87960002 -19.1980957),33.0,286
6,7980572953,True,2009-10-07 16:40:00,15.90638631,-19.18461711,gps,Loxodonta africana,AG192,LA27,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),POINT (15.90638631 -19.18461711),30.793750000000003,281
7,7980572954,True,2009-10-07 18:21:00,15.90125631,-19.18263143,gps,Loxodonta africana,AG192,LA27,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),POINT (15.90125631 -19.18263143),,286
8,7980572955,True,2009-10-07 20:20:00,15.92212016,-19.19031779,gps,Loxodonta africana,AG192,LA27,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),POINT (15.92212016 -19.19031779),,274
9,7980572956,True,2009-10-07 21:00:00,15.92276713,-19.19456584,gps,Loxodonta africana,AG192,LA27,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),POINT (15.92276713 -19.19456584),,274
10,7980572957,True,2009-10-07 22:20:00,15.92354736,-19.19638062,gps,Loxodonta africana,AG192,LA27,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),POINT (15.92354736 -19.19638062),,280
11,7980572958,True,2009-10-07 23:01:00,15.92555542,-19.19822591,gps,Loxodonta africana,AG192,LA27,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),POINT (15.92555542 -19.19822591),,277
12,7980572959,True,2009-10-08 03:40:00,15.960642499999999,-19.24994303,gps,Loxodonta africana,AG192,LA27,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),POINT (15.9606425 -19.24994303),22.3375,270
13,7980572960,True,2009-10-08 08:41:00,15.9555603,-19.24611613,gps,Loxodonta africana,AG192,LA27,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),POINT (15.9555603 -19.24611613),28.96,269
